时间,伸缩量(mm)
2023-01-01 01:10:00,1593.08
2023-01-01 02:20:00,1596.82
2023-01-01 03:30:00,1600.63
2023-01-01 04:40:00,1602.81
2023-01-01 05:50:00,1604.38
2023-01-01 07:00:00,1605.99
2023-01-01 08:10:00,1607.56
2023-01-01 09:20:00,1609.22
2023-01-01 10:30:00,1609.39
2023-01-01 11:40:00,1609.42
2023-01-01 12:50:00,1608.94
2023-01-01 14:00:00,1608.39
2023-01-01 15:10:00,1607.84
2023-01-01 16:20:00,1607.67
2023-01-01 17:30:00,1607.65
2023-01-01 18:40:00,1607.62
2023-01-01 19:50:00,1607.62
2023-01-01 21:00:00,1607.65
2023-01-01 22:10:00,1607.71
2023-01-01 23:20:00,1607.92
2023-01-02 00:40:00,1608.51
2023-01-02 02:00:00,1608.97
2023-01-02 03:10:00,1609.69
2023-01-02 04:20:00,1610.22
2023-01-02 05:30:00,1610.88
2023-01-02 06:40:00,1611.63
2023-01-02 07:50:00,1612.26
2023-01-02 09:00:00,1612.43
2023-01-02 10:10:00,1612.51
2023-01-02 11:20:00,1612.51
2023-01-02 12:30:00,1612.43
2023-01-02 13:40:00,1611.76
2023-01-02 14:50:00,1610.93
2023-01-02 16:00:00,1610.57
2023-01-02 17:10:00,1610.46
2023-01-02 18:20:00,1610.46
2023-01-02 19:30:00,1610.49
2023-01-02 20:40:00,1610.74
2023-01-02 21:50:00,1611.32
2023-01-02 23:00:00,1611.93
2023-01-03 00:20:00,1612.59
2023-01-03 01:30:00,1613.17
2023-01-03 02:40:00,1614
2023-01-03 03:50:00,1614.66
2023-01-03 05:00:00,1615.21
2023-01-03 06:10:00,1615.79
2023-01-03 07:20:00,1616.43
2023-01-03 08:30:00,1616.54
2023-01-03 09:40:00,1616.65
2023-01-03 10:50:00,1616.54
2023-01-03 12:00:00,1615.65
2023-01-03 13:10:00,1613.99
2023-01-03 14:20:00,1611.97
2023-01-03 15:30:00,1609.9
2023-01-03 16:40:00,1608.66
2023-01-03 17:50:00,1608.44
2023-01-03 19:00:00,1608.44
2023-01-03 20:10:00,1608.44
2023-01-03 21:20:00,1608.46
2023-01-03 22:30:00,1608.57
2023-01-03 23:40:00,1609.07
2023-01-04 01:00:00,1609.73
2023-01-04 02:10:00,1610.28
2023-01-04 03:20:00,1610.7
2023-01-04 04:30:00,1611.11
2023-01-04 05:40:00,1611.53
2023-01-04 06:50:00,1612.14
2023-01-04 08:00:00,1612.46
2023-01-04 09:10:00,1612.63
2023-01-04 10:20:00,1612.71
2023-01-04 11:30:00,1612.58
2023-01-04 12:40:00,1611.66
2023-01-04 13:50:00,1610.53
2023-01-04 15:00:00,1609.56
2023-01-04 16:10:00,1608.87
2023-01-04 17:20:00,1608.32
2023-01-04 18:30:00,1608.29
2023-01-04 19:40:00,1608.26
2023-01-04 20:50:00,1608.26
2023-01-04 22:00:00,1608.26
2023-01-04 23:10:00,1608.32
2023-01-05 00:30:00,1608.4
2023-01-05 01:40:00,1608.79
2023-01-05 02:50:00,1609.04
2023-01-05 04:00:00,1609.39
2023-01-05 05:10:00,1609.97
2023-01-05 06:20:00,1610.19
2023-01-05 07:30:00,1610.58
2023-01-05 08:40:00,1610.58
2023-01-05 09:50:00,1610.64
2023-01-05 11:00:00,1610.55
2023-01-05 12:10:00,1609.78
2023-01-05 13:20:00,1608.28
2023-01-05 14:30:00,1605.42
2023-01-05 15:40:00,1601.81
2023-01-05 16:50:00,1600.9
2023-01-05 18:00:00,1600.76
2023-01-05 19:10:00,1600.68
2023-01-05 20:20:00,1600.68
2023-01-05 21:30:00,1601.37
2023-01-05 22:40:00,1603.22
2023-01-05 23:50:00,1605.56
2023-01-06 01:10:00,1608.49
2023-01-06 02:20:00,1611.07
2023-01-06 03:30:00,1614.3
2023-01-06 04:40:00,1615.59
2023-01-06 05:50:00,1615.93
2023-01-06 07:00:00,1616.2
2023-01-06 08:10:00,1616.34
2023-01-06 09:20:00,1616.39
2023-01-06 10:30:00,1616.39
2023-01-06 11:40:00,1616.36
2023-01-06 12:50:00,1615.73
2023-01-06 14:00:00,1614.6
