时间,位移量(mm)
2023-01-01 01:10:00,80.26
2023-01-01 02:20:00,80.3
2023-01-01 03:30:00,80.34
2023-01-01 04:40:00,80.34
2023-01-01 05:50:00,80.38
2023-01-01 07:00:00,80.38
2023-01-01 08:10:00,80.38
2023-01-01 09:20:00,80.38
2023-01-01 10:30:00,80.34
2023-01-01 11:40:00,79.86
2023-01-01 12:50:00,79.7
2023-01-01 14:00:00,79.27
2023-01-01 15:10:00,78.87
2023-01-01 16:20:00,78.83
2023-01-01 17:30:00,78.83
2023-01-01 18:40:00,78.83
2023-01-01 19:50:00,78.87
2023-01-01 21:00:00,78.91
2023-01-01 22:10:00,78.91
2023-01-01 23:20:00,78.95
2023-01-02 00:40:00,79.03
2023-01-02 02:00:00,79.15
2023-01-02 03:10:00,79.46
2023-01-02 04:20:00,79.74
2023-01-02 05:30:00,79.89
2023-01-02 06:40:00,79.93
2023-01-02 07:50:00,79.93
2023-01-02 09:00:00,79.93
2023-01-02 10:10:00,79.89
2023-01-02 11:20:00,79.66
2023-01-02 12:30:00,79.3
2023-01-02 13:40:00,78.98
2023-01-02 14:50:00,78.31
2023-01-02 16:00:00,78.03
2023-01-02 17:10:00,77.99
2023-01-02 18:20:00,78.03
2023-01-02 19:30:00,78.23
2023-01-02 20:40:00,78.47
2023-01-02 21:50:00,78.74
2023-01-02 23:00:00,79.1
2023-01-03 00:20:00,79.49
2023-01-03 01:30:00,79.81
2023-01-03 02:40:00,79.89
2023-01-03 03:50:00,79.93
2023-01-03 05:00:00,79.93
2023-01-03 06:10:00,79.93
2023-01-03 07:20:00,79.93
2023-01-03 08:30:00,79.93
2023-01-03 09:40:00,79.89
2023-01-03 10:50:00,79.49
2023-01-03 12:00:00,78.7
2023-01-03 13:10:00,77.47
2023-01-03 14:20:00,77
2023-01-03 15:30:00,76.84
2023-01-03 16:40:00,76.64
2023-01-03 17:50:00,76.64
2023-01-03 19:00:00,76.68
2023-01-03 20:10:00,76.76
2023-01-03 21:20:00,76.96
2023-01-03 22:30:00,77.2
2023-01-03 23:40:00,77.4
2023-01-04 01:00:00,77.68
2023-01-04 02:10:00,78.03
2023-01-04 03:20:00,78.39
2023-01-04 04:30:00,78.66
2023-01-04 05:40:00,78.9
2023-01-04 06:50:00,79.09
2023-01-04 08:00:00,79.09
2023-01-04 09:10:00,79.09
2023-01-04 10:20:00,79.05
2023-01-04 11:30:00,78.7
2023-01-04 12:40:00,78.26
2023-01-04 13:50:00,77.63
2023-01-04 15:00:00,76.84
2023-01-04 16:10:00,76.6
2023-01-04 17:20:00,76.45
2023-01-04 18:30:00,76.49
2023-01-04 19:40:00,76.49
2023-01-04 20:50:00,76.53
2023-01-04 22:00:00,76.6
2023-01-04 23:10:00,76.84
2023-01-05 00:30:00,77.08
2023-01-05 01:40:00,77.24
2023-01-05 02:50:00,77.35
2023-01-05 04:00:00,77.48
2023-01-05 05:10:00,77.79
2023-01-05 06:20:00,77.95
2023-01-05 07:30:00,78.06
2023-01-05 08:40:00,78.06
2023-01-05 09:50:00,78.06
2023-01-05 11:00:00,77.99
2023-01-05 12:10:00,77.67
2023-01-05 13:20:00,76.96
2023-01-05 14:30:00,76.21
2023-01-05 15:40:00,76.21
2023-01-05 16:50:00,76.21
2023-01-05 18:00:00,76.25
2023-01-05 19:10:00,76.25
2023-01-05 20:20:00,76.29
2023-01-05 21:30:00,77
2023-01-05 22:40:00,78.27
2023-01-05 23:50:00,79.09
2023-01-06 01:10:00,79.49
2023-01-06 02:20:00,79.8
2023-01-06 03:30:00,79.84
2023-01-06 04:40:00,79.84
2023-01-06 05:50:00,79.84
2023-01-06 07:00:00,79.84
2023-01-06 08:10:00,79.83
2023-01-06 09:20:00,79.8
2023-01-06 10:30:00,79.8
2023-01-06 11:40:00,79.44
2023-01-06 12:50:00,78.81
2023-01-06 14:00:00,77.97
2023-01-06 15:10:00,76.83
2023-01-06 16:20:00,76.55
2023-01-06 17:30:00,76.52
2023-01-06 18:40:00,76.52
