时间,挠度(mm)
2023-01-01 00:50:00,-28.55
2023-01-01 01:40:00,-29.15
2023-01-01 02:30:00,-34.43
2023-01-01 03:20:00,-32.87
2023-01-01 04:10:00,-34.23
2023-01-01 05:00:00,-34.96
2023-01-01 05:50:00,-36.55
2023-01-01 06:40:00,-34.3
2023-01-01 07:30:00,-35.41
2023-01-01 08:20:00,-33.16
2023-01-01 09:10:00,-38.09
2023-01-01 10:30:00,-36.54
2023-01-01 12:10:00,-37.62
2023-01-01 14:10:00,-33.36
2023-01-01 15:00:00,-33.06
2023-01-01 16:00:00,-36.06
2023-01-01 16:50:00,-33.55
2023-01-01 17:40:00,-33.78
2023-01-01 18:30:00,-32.1
2023-01-01 19:20:00,-33.34
2023-01-01 20:10:00,-35
2023-01-01 21:00:00,-31.79
2023-01-01 21:50:00,-35.32
2023-01-02 00:20:00,-35.71
2023-01-02 01:20:00,-33.15
2023-01-02 02:10:00,-32.8
2023-01-02 03:00:00,-34.99
2023-01-02 03:50:00,-35.5
2023-01-02 04:40:00,-36.22
2023-01-02 05:30:00,-36.46
2023-01-02 06:20:00,-35.62
2023-01-02 07:10:00,-38.99
2023-01-02 08:00:00,-35.2
2023-01-02 08:50:00,-34.93
2023-01-02 09:40:00,-37.63
2023-01-02 10:30:00,-37.84
2023-01-02 11:20:00,-37.52
2023-01-02 12:10:00,-34.84
2023-01-02 13:00:00,-33.62
2023-01-02 13:50:00,-31.71
2023-01-02 14:40:00,-33.89
2023-01-02 15:30:00,-32.46
2023-01-02 18:40:00,-33.23
2023-01-02 19:30:00,-34.79
2023-01-02 20:20:00,-34.52
2023-01-02 21:10:00,-33.95
2023-01-02 22:00:00,-37.88
2023-01-02 22:50:00,-37.66
2023-01-02 23:40:00,-38.78
2023-01-03 00:40:00,-35.3
2023-01-03 01:30:00,-36.36
2023-01-03 02:20:00,-38.53
2023-01-03 03:10:00,-38.21
2023-01-03 04:00:00,-40.06
2023-01-03 04:50:00,-39.32
2023-01-03 05:40:00,-36.31
2023-01-03 06:30:00,-40.63
2023-01-03 07:20:00,-40.15
2023-01-03 08:10:00,-36.68
2023-01-03 09:00:00,-37.43
2023-01-03 09:50:00,-40.38
2023-01-03 10:40:00,-36.02
2023-01-03 11:30:00,-38.13
2023-01-03 12:20:00,-38.09
2023-01-03 13:10:00,-34.64
2023-01-03 14:00:00,-35.83
2023-01-03 14:50:00,-31.87
2023-01-03 15:40:00,-33.42
2023-01-03 17:40:00,-33.52
2023-01-03 19:10:00,-32.65
2023-01-03 20:00:00,-29.63
2023-01-03 20:50:00,-31.04
2023-01-03 23:40:00,-35.03
2023-01-04 00:40:00,-35.15
2023-01-04 01:30:00,-31.34
2023-01-04 02:20:00,-34.51
2023-01-04 03:10:00,-33.56
2023-01-04 04:00:00,-32.74
2023-01-04 04:50:00,-36.94
2023-01-04 05:40:00,-33.49
2023-01-04 06:30:00,-37.95
2023-01-04 07:20:00,-34.8
2023-01-04 08:10:00,-37.78
2023-01-04 09:00:00,-36.01
2023-01-04 09:50:00,-34.04
2023-01-04 10:40:00,-34.54
2023-01-04 11:30:00,-34.45
2023-01-04 12:20:00,-36.93
2023-01-04 13:10:00,-35.84
2023-01-04 14:00:00,-34.11
2023-01-04 14:50:00,-30.69
2023-01-04 15:40:00,-33.23
2023-01-04 19:10:00,-29.54
2023-01-04 20:40:00,-32.95
2023-01-04 21:30:00,-32.66
2023-01-04 22:20:00,-29.08
2023-01-04 23:10:00,-30.7
2023-01-05 00:10:00,-33.28
2023-01-05 01:00:00,-31.57
2023-01-05 01:50:00,-32.69
2023-01-05 02:40:00,-30.5
2023-01-05 03:30:00,-33.64
2023-01-05 04:20:00,-31.2
2023-01-05 05:10:00,-35.42
2023-01-05 06:30:00,-35.11
2023-01-05 07:20:00,-31.47
2023-01-05 08:10:00,-34.44
2023-01-05 09:00:00,-33.81
2023-01-05 10:00:00,-33.29
2023-01-05 12:10:00,-32.85
2023-01-05 13:00:00,-30.75
2023-01-05 13:50:00,-34.27
2023-01-05 14:40:00,-28.95
2023-01-05 15:40:00,-32.99
2023-01-05 16:30:00,-28.54
2023-01-05 17:20:00,-27.38
2023-01-05 18:10:00,-27.35
2023-01-05 19:00:00,-28.96
2023-01-05 19:50:00,-30.52
2023-01-05 20:40:00,-29.82
2023-01-05 21:30:00,-28.83
2023-01-05 22:20:00,-29.06
2023-01-05 23:10:00,-29.69
2023-01-06 00:10:00,-34.22
2023-01-06 01:00:00,-36.32
2023-01-06 02:10:00,-33.84
2023-01-06 03:00:00,-35.32
2023-01-06 03:50:00,-37.48
2023-01-06 04:40:00,-35.88
2023-01-06 05:30:00,-39.63
2023-01-06 06:20:00,-40.61
2023-01-06 07:10:00,-39.32
2023-01-06 08:00:00,-39.22
2023-01-06 08:50:00,-41.09
2023-01-06 09:40:00,-39.75
2023-01-06 10:30:00,-38.44
2023-01-06 11:30:00,-40.99
2023-01-06 12:20:00,-38.18
2023-01-06 13:10:00,-37.6
2023-01-06 14:00:00,-35.53
2023-01-06 14:50:00,-34.69
2023-01-06 15:40:00,-32.94
2023-01-06 17:50:00,-31.57
2023-01-06 18:50:00,-30.28
2023-01-06 21:50:00,-35.21
2023-01-06 22:40:00,-36.26
2023-01-06 23:30:00,-36.84
2023-01-07 00:30:00,-36.67
2023-01-07 01:20:00,-37.67
2023-01-07 02:10:00,-38.64
2023-01-07 03:00:00,-40.74
2023-01-07 03:50:00,-40.41
2023-01-07 04:40:00,-38.3
2023-01-07 05:30:00,-42.27
2023-01-07 06:20:00,-41.64
2023-01-07 07:10:00,-40.49
2023-01-07 08:00:00,-39.41
2023-01-07 09:00:00,-42.14
2023-01-07 09:50:00,-42.15
2023-01-07 10:40:00,-42.44
2023-01-07 11:30:00,-40
2023-01-07 12:20:00,-36.25
2023-01-07 13:10:00,-34.44
2023-01-07 14:10:00,-27.91
2023-01-07 15:00:00,-26.81
2023-01-07 15:50:00,-24.54
2023-01-07 16:50:00,-22.44
2023-01-07 17:40:00,-22.68
2023-01-07 18:30:00,-24.06
2023-01-07 19:20:00,-27.22
2023-01-07 20:10:00,-25.25
2023-01-07 21:00:00,-29.9
2023-01-07 21:50:00,-32.72
2023-01-07 22:40:00,-34.32
2023-01-07 23:30:00,-33.15
2023-01-08 00:30:00,-37.11
2023-01-08 01:20:00,-38.14
2023-01-08 02:30:00,-36.74
2023-01-08 03:20:00,-39.83
2023-01-08 04:10:00,-41.13
2023-01-08 05:00:00,-40.74
2023-01-08 05:50:00,-40.99
2023-01-08 06:40:00,-37.64
2023-01-08 07:30:00,-38.93
2023-01-08 08:20:00,-43.39
2023-01-08 09:10:00,-39.84
2023-01-08 10:00:00,-39.57
2023-01-08 10:50:00,-42.46
2023-01-08 11:40:00,-43.43
2023-01-08 12:30:00,-38.17
2023-01-08 13:20:00,-39.12
2023-01-08 14:10:00,-38.74
2023-01-08 15:00:00,-33.22
2023-01-08 16:00:00,-32.51
2023-01-08 16:50:00,-34.04
2023-01-08 17:40:00,-32.25
2023-01-08 18:30:00,-33.22
2023-01-08 19:20:00,-30.49
2023-01-08 20:10:00,-31.28
2023-01-08 21:10:00,-36.19
2023-01-08 22:00:00,-35
2023-01-08 22:50:00,-35.44
2023-01-08 23:40:00,-39.37
2023-01-09 00:40:00,-36.62
2023-01-09 01:30:00,-40.78
2023-01-09 02:20:00,-40.79
2023-01-09 03:10:00,-39.17
2023-01-09 04:00:00,-40.37
2023-01-09 04:50:00,-41.31
2023-01-09 05:40:00,-41.04
2023-01-09 06:30:00,-42.02
2023-01-09 07:20:00,-38.83
2023-01-09 08:10:00,-42.97
2023-01-09 09:00:00,-41.65
2023-01-09 09:50:00,-38.46
2023-01-09 10:40:00,-42.15
2023-01-09 11:30:00,-37.98
2023-01-09 12:20:00,-40.95
2023-01-09 13:10:00,-38.71
2023-01-09 14:00:00,-34.54
2023-01-09 14:50:00,-36.57
2023-01-09 16:00:00,-34.62
2023-01-09 16:50:00,-31.83
2023-01-09 17:40:00,-34.55
2023-01-09 18:30:00,-33.33
2023-01-09 19:50:00,-34.17
2023-01-09 20:40:00,-35.35
2023-01-09 21:30:00,-37.11
2023-01-09 22:20:00,-35.03
2023-01-09 23:10:00,-34.87
2023-01-10 00:10:00,-36.45
2023-01-10 01:00:00,-35.4
2023-01-10 01:50:00,-38.66
2023-01-10 02:40:00,-39.33
2023-01-10 03:30:00,-37.28
2023-01-10 04:20:00,-40.83
2023-01-10 05:10:00,-39.71
2023-01-10 06:00:00,-36.74
2023-01-10 06:50:00,-36.75
2023-01-10 07:40:00,-40.31
2023-01-10 08:30:00,-39.26
2023-01-10 09:20:00,-37.95
2023-01-10 10:10:00,-38.05
2023-01-10 11:00:00,-37.06
2023-01-10 11:50:00,-39.57
2023-01-10 12:40:00,-40.12
2023-01-10 13:30:00,-36.26
2023-01-10 14:20:00,-37.27
2023-01-10 15:10:00,-32.25
2023-01-10 16:20:00,-33.55
2023-01-10 17:10:00,-31.07
