时间,风向(°)
2023-01-01 01:19:00,181.33
2023-01-01 02:38:00,149.8
2023-01-01 03:57:00,164.79
2023-01-01 05:15:00,303.06
2023-01-01 06:34:00,259.18
2023-01-01 07:52:00,73.56
2023-01-01 09:10:00,291.86
2023-01-01 10:28:00,320.87
2023-01-01 11:46:00,137.93
2023-01-01 13:05:00,321.48
2023-01-01 14:24:00,185.59
2023-01-01 15:42:00,119.94
2023-01-01 17:00:00,233.57
2023-01-01 18:18:00,84.21
2023-01-01 19:37:00,127.68
2023-01-01 20:55:00,138.38
2023-01-01 22:13:00,63.9
2023-01-01 23:31:00,329.28
2023-01-02 00:51:00,195.68
2023-01-02 02:10:00,206.57
2023-01-02 03:28:00,47.12
2023-01-02 04:46:00,232.22
2023-01-02 06:05:00,89.42
2023-01-02 07:23:00,216.27
2023-01-02 08:42:00,238.38
2023-01-02 10:00:00,297.26
2023-01-02 11:19:00,321.33
2023-01-02 12:37:00,280.54
2023-01-02 13:55:00,256.25
2023-01-02 15:14:00,149.61
2023-01-02 16:32:00,176.2
2023-01-02 17:50:00,165.27
2023-01-02 19:08:00,102.9
2023-01-02 20:27:00,241.83
2023-01-02 21:45:00,262.21
2023-01-02 23:03:00,134.47
2023-01-03 00:23:00,73.57
2023-01-03 01:42:00,288.88
2023-01-03 03:00:00,164.22
2023-01-03 04:19:00,20.16
2023-01-03 05:37:00,66.06
2023-01-03 06:57:00,218.35
2023-01-03 08:16:00,146.65
2023-01-03 09:35:00,227.6
2023-01-03 10:54:00,176.51
2023-01-03 12:12:00,229.01
2023-01-03 13:30:00,259.66
2023-01-03 14:48:00,292.08
2023-01-03 16:06:00,306.71
2023-01-03 17:24:00,150.47
2023-01-03 18:42:00,75.12
2023-01-03 20:00:00,115.72
2023-01-03 21:18:00,175.74
2023-01-03 22:37:00,107.97
2023-01-03 23:55:00,249.67
2023-01-04 01:15:00,88.15
2023-01-04 02:33:00,236.77
2023-01-04 03:51:00,285.35
2023-01-04 05:10:00,167.18
2023-01-04 06:29:00,263.77
2023-01-04 07:48:00,282.68
2023-01-04 09:06:00,278.8
2023-01-04 10:24:00,195.28
2023-01-04 11:42:00,309.09
2023-01-04 13:01:00,323.21
2023-01-04 14:20:00,305.66
2023-01-04 15:39:00,322.32
2023-01-04 16:58:00,277.33
2023-01-04 18:17:00,161.16
2023-01-04 19:35:00,191.5
2023-01-04 20:53:00,81.11
2023-01-04 22:11:00,77.15
2023-01-04 23:30:00,328.05
2023-01-05 00:49:00,97.64
2023-01-05 02:07:00,232.99
2023-01-05 03:25:00,50.6
2023-01-05 04:44:00,172.59
2023-01-05 06:03:00,41.74
2023-01-05 07:22:00,162.82
2023-01-05 08:41:00,264.93
2023-01-05 09:59:00,253.24
2023-01-05 11:17:00,263.07
2023-01-05 12:35:00,147.86
2023-01-05 13:54:00,149.68
2023-01-05 15:12:00,149.88
2023-01-05 16:31:00,149.67
2023-01-05 17:50:00,250.69
2023-01-05 19:08:00,220.41
2023-01-05 20:26:00,238.2
2023-01-05 21:44:00,308.98
2023-01-05 23:03:00,330.37
2023-01-06 00:25:00,144.44
2023-01-06 01:43:00,156.65
2023-01-06 03:01:00,307.41
2023-01-06 04:19:00,65.66
2023-01-06 05:37:00,142.15
2023-01-06 06:56:00,226.1
2023-01-06 08:15:00,235.29
2023-01-06 09:33:00,191.73
2023-01-06 10:52:00,245.31
2023-01-06 12:10:00,239.45
2023-01-06 13:29:00,169.9
2023-01-06 14:47:00,253.92
2023-01-06 16:06:00,172.42
2023-01-06 17:24:00,186.4
2023-01-06 18:43:00,200.71
2023-01-06 20:02:00,120.8
2023-01-06 21:21:00,275.28
2023-01-06 22:39:00,164.2
2023-01-06 23:58:00,48.29
2023-01-07 01:18:00,52.29
2023-01-07 02:36:00,145.94
2023-01-07 03:55:00,319.51
2023-01-07 05:14:00,280.02
2023-01-07 06:33:00,321.92
2023-01-07 07:51:00,319.55
2023-01-07 09:10:00,186.73
2023-01-07 10:29:00,125.36
2023-01-07 11:48:00,299.41
2023-01-07 13:06:00,302.55
2023-01-07 14:25:00,322.94
2023-01-07 15:43:00,171.08
2023-01-07 17:02:00,142.51
2023-01-07 18:22:00,150.61
2023-01-07 19:41:00,168.38
2023-01-07 20:59:00,177.51
2023-01-07 22:17:00,161.17
2023-01-07 23:36:00,178.09
2023-01-08 00:55:00,167.81
2023-01-08 02:14:00,158.77
2023-01-08 03:32:00,168.46
2023-01-08 04:50:00,158.38
2023-01-08 06:09:00,23.85
2023-01-08 07:27:00,106.75
2023-01-08 08:45:00,72.85
2023-01-08 10:05:00,308.52
2023-01-08 11:24:00,191.77
2023-01-08 12:43:00,126.58
2023-01-08 14:02:00,151.71
2023-01-08 15:20:00,221.46
2023-01-08 16:39:00,154.56
2023-01-08 17:58:00,130.19
2023-01-08 19:17:00,142.76
2023-01-08 20:35:00,171.49
2023-01-08 21:54:00,170.67
2023-01-08 23:13:00,165.41
2023-01-09 00:32:00,161.4
2023-01-09 01:51:00,156.72
2023-01-09 03:10:00,156.95
2023-01-09 04:29:00,166.49
2023-01-09 05:47:00,272.41
2023-01-09 07:05:00,188.68
2023-01-09 08:24:00,209.47
2023-01-09 09:43:00,167.29
2023-01-09 11:03:00,253.33
2023-01-09 12:21:00,311.12
2023-01-09 13:40:00,294.27
2023-01-09 14:58:00,324.89
2023-01-09 16:16:00,154.79
2023-01-09 17:34:00,150.69
2023-01-09 18:52:00,154.64
2023-01-09 20:11:00,142.42
2023-01-09 21:29:00,130.37
2023-01-09 22:47:00,81.17
2023-01-10 00:08:00,134.92
2023-01-10 01:26:00,100.21
2023-01-10 02:45:00,171.91
2023-01-10 04:03:00,169.83
2023-01-10 05:22:00,122.88
2023-01-10 06:41:00,272.76
2023-01-10 07:59:00,184.35
2023-01-10 09:18:00,160.99
2023-01-10 10:36:00,103.36
2023-01-10 11:54:00,300.05
2023-01-10 13:13:00,299.08
2023-01-10 14:32:00,117.33
2023-01-10 15:51:00,157.99
2023-01-10 17:09:00,147.08
2023-01-10 18:28:00,149.44
2023-01-10 19:46:00,155.02
