时间,温度(°C)
2023-01-01 01:10:00,8.57
2023-01-01 02:20:00,7.91
2023-01-01 03:30:00,7.63
2023-01-01 04:40:00,7.49
2023-01-01 05:50:00,7.33
2023-01-01 07:00:00,7.46
2023-01-01 08:10:00,7.4
2023-01-01 09:20:00,7.43
2023-01-01 10:30:00,7.83
2023-01-01 11:40:00,8.03
2023-01-01 12:50:00,8.18
2023-01-01 14:00:00,8.31
2023-01-01 15:10:00,8.35
2023-01-01 16:20:00,8.45
2023-01-01 17:30:00,8.47
2023-01-01 18:40:00,8.36
2023-01-01 19:50:00,8.47
2023-01-01 21:00:00,8.29
2023-01-01 22:10:00,8.09
2023-01-01 23:20:00,8.08
2023-01-02 00:40:00,8.1
2023-01-02 02:00:00,7.9
2023-01-02 03:10:00,7.6
2023-01-02 04:20:00,7.51
2023-01-02 05:30:00,7.5
2023-01-02 06:40:00,7.41
2023-01-02 07:50:00,7.52
2023-01-02 09:00:00,7.65
2023-01-02 10:10:00,7.89
2023-01-02 11:30:00,8.05
2023-01-02 12:40:00,8.36
2023-01-02 13:50:00,8.74
2023-01-02 15:00:00,8.39
2023-01-02 16:10:00,8.5
2023-01-02 17:20:00,8.57
2023-01-02 18:30:00,8.21
2023-01-02 19:40:00,8.09
2023-01-02 20:50:00,7.75
2023-01-02 22:00:00,7.63
2023-01-02 23:10:00,7.49
2023-01-03 00:30:00,7.38
2023-01-03 01:40:00,7.17
2023-01-03 02:50:00,7.23
2023-01-03 04:00:00,7.12
2023-01-03 05:10:00,7.1
2023-01-03 06:20:00,7.27
2023-01-03 07:30:00,7.32
2023-01-03 08:40:00,7.37
2023-01-03 09:50:00,7.75
2023-01-03 11:00:00,7.83
2023-01-03 12:10:00,8.34
2023-01-03 13:20:00,8.65
2023-01-03 14:30:00,8.92
2023-01-03 15:40:00,9.1
2023-01-03 16:50:00,9.08
2023-01-03 18:00:00,9.01
2023-01-03 19:10:00,8.92
2023-01-03 20:20:00,8.8
2023-01-03 21:30:00,8.54
2023-01-03 22:40:00,8.45
2023-01-03 23:50:00,8.25
2023-01-04 01:10:00,8.05
2023-01-04 02:20:00,7.9
2023-01-04 03:30:00,7.87
2023-01-04 04:40:00,7.75
2023-01-04 05:50:00,7.78
2023-01-04 07:00:00,7.84
2023-01-04 08:10:00,7.91
2023-01-04 09:20:00,7.97
2023-01-04 10:30:00,8.29
2023-01-04 11:40:00,8.38
2023-01-04 12:50:00,8.57
2023-01-04 14:00:00,8.97
2023-01-04 15:10:00,9.15
2023-01-04 16:20:00,9.21
2023-01-04 17:30:00,9.26
2023-01-04 18:40:00,9.23
2023-01-04 19:50:00,9.07
2023-01-04 21:00:00,8.93
2023-01-04 22:10:00,8.68
2023-01-04 23:20:00,8.52
2023-01-05 00:40:00,8.39
2023-01-05 01:50:00,8.19
2023-01-05 03:00:00,8.2
2023-01-05 04:10:00,8.07
2023-01-05 05:20:00,8.11
2023-01-05 06:30:00,8.07
2023-01-05 07:40:00,8.17
2023-01-05 08:50:00,8.45
2023-01-05 10:00:00,8.55
2023-01-05 11:10:00,8.89
2023-01-05 12:20:00,8.81
2023-01-05 13:30:00,9
2023-01-05 14:40:00,9.34
2023-01-05 15:50:00,9.55
2023-01-05 17:00:00,9.81
2023-01-05 18:10:00,10.04
2023-01-05 19:20:00,9.6
2023-01-05 20:30:00,9.51
2023-01-05 21:40:00,8.6
2023-01-05 22:50:00,7.94
2023-01-06 00:10:00,7.56
2023-01-06 01:20:00,7.24
2023-01-06 02:30:00,7.04
2023-01-06 03:40:00,6.7
2023-01-06 04:50:00,6.66
2023-01-06 06:00:00,6.51
2023-01-06 07:10:00,6.67
2023-01-06 08:20:00,6.67
2023-01-06 09:30:00,6.54
2023-01-06 10:40:00,6.97
2023-01-06 11:50:00,7.5
2023-01-06 13:00:00,7.94
2023-01-06 14:10:00,8.33
2023-01-06 15:20:00,8.51
2023-01-06 16:30:00,9.22
2023-01-06 17:40:00,9.09
2023-01-06 18:50:00,9.13
2023-01-06 20:00:00,8.55
2023-01-06 21:10:00,7.98
2023-01-06 22:20:00,7.5
2023-01-06 23:30:00,6.95
2023-01-07 00:50:00,6.68
2023-01-07 02:00:00,6.36
2023-01-07 03:10:00,6.16
2023-01-07 04:20:00,5.8
2023-01-07 05:30:00,5.68
2023-01-07 06:40:00,5.97
2023-01-07 07:50:00,6.22
2023-01-07 09:00:00,5.49
2023-01-07 10:10:00,6.4
2023-01-07 11:20:00,8.34
2023-01-07 12:30:00,9.7
2023-01-07 13:40:00,10.99
2023-01-07 14:50:00,12.23
2023-01-07 16:00:00,11.65
2023-01-07 17:20:00,10.9
2023-01-07 18:30:00,10.04
2023-01-07 19:40:00,9.14
2023-01-07 20:50:00,8.52
2023-01-07 22:00:00,7.83
2023-01-07 23:10:00,7.28
2023-01-08 00:30:00,6.78
2023-01-08 01:40:00,6.39
2023-01-08 02:50:00,6.3
2023-01-08 04:00:00,6.14
2023-01-08 05:10:00,6.08
2023-01-08 06:20:00,6.16
2023-01-08 07:30:00,6.09
2023-01-08 08:40:00,5.82
2023-01-08 09:50:00,5.91
2023-01-08 11:00:00,6.27
2023-01-08 12:10:00,6.94
2023-01-08 13:20:00,7.57
2023-01-08 14:30:00,8.35
2023-01-08 15:40:00,9.7
2023-01-08 16:50:00,9.02
2023-01-08 18:00:00,8.72
2023-01-08 19:10:00,8.23
2023-01-08 20:20:00,7.86
2023-01-08 21:30:00,7.33
2023-01-08 22:40:00,7
2023-01-08 23:50:00,6.77
2023-01-09 01:10:00,6.77
2023-01-09 02:20:00,6.54
2023-01-09 03:30:00,6.51
2023-01-09 04:40:00,6.18
2023-01-09 05:50:00,6.3
2023-01-09 07:00:00,5.96
2023-01-09 08:10:00,6.02
2023-01-09 09:20:00,6.35
2023-01-09 10:30:00,6.74
2023-01-09 11:40:00,6.85
2023-01-09 12:50:00,7.39
2023-01-09 14:00:00,8.38
2023-01-09 15:10:00,8.89
2023-01-09 16:20:00,8.83
2023-01-09 17:30:00,8.59
2023-01-09 18:40:00,8.07
2023-01-09 19:50:00,7.72
2023-01-09 21:00:00,7.47
2023-01-09 22:10:00,7.34
2023-01-09 23:20:00,7.39
2023-01-10 00:40:00,7.11
2023-01-10 01:50:00,6.94
2023-01-10 03:00:00,6.76
2023-01-10 04:10:00,6.71
2023-01-10 05:20:00,6.42
2023-01-10 06:30:00,6.43
2023-01-10 07:40:00,6.44
2023-01-10 08:50:00,6.54
2023-01-10 10:00:00,6.67
2023-01-10 11:10:00,7.04
2023-01-10 12:20:00,7.55
2023-01-10 13:30:00,8.39
2023-01-10 14:40:00,9.46
2023-01-10 15:50:00,8.87
2023-01-10 17:00:00,8.6
2023-01-10 18:10:00,8.39
2023-01-10 19:20:00,8.02
2023-01-10 20:30:00,7.82
2023-01-10 21:40:00,7.64
2023-01-10 22:50:00,7.62
2023-01-11 00:10:00,7.29
2023-01-11 01:20:00,7.12
2023-01-11 02:30:00,6.82
2023-01-11 03:40:00,6.75
2023-01-11 04:50:00,6.72
2023-01-11 06:00:00,6.57
2023-01-11 07:10:00,6.53
2023-01-11 08:20:00,6.68
2023-01-11 09:30:00,6.81
2023-01-11 10:40:00,7.48
2023-01-11 11:50:00,8.05
2023-01-11 13:00:00,9.07
2023-01-11 14:10:00,11.23
2023-01-11 15:20:00,12.85
2023-01-11 16:30:00,13.03
2023-01-11 17:40:00,12.57
2023-01-11 18:50:00,11.17
2023-01-11 20:00:00,10.19
2023-01-11 21:10:00,10.12
2023-01-11 22:20:00,9.21
2023-01-11 23:30:00,9.22
2023-01-12 00:50:00,9.16
2023-01-12 02:00:00,9.37
2023-01-12 03:10:00,9.54
2023-01-12 04:20:00,9.34
2023-01-12 05:30:00,9.67
2023-01-12 06:40:00,9.96
2023-01-12 07:50:00,9.98
2023-01-12 09:00:00,10.08
2023-01-12 10:10:00,10.32
2023-01-12 11:20:00,10.45
2023-01-12 12:30:00,10.53
2023-01-12 13:40:00,10.98
2023-01-12 14:50:00,11.21
2023-01-12 16:00:00,11.52
2023-01-12 17:10:00,11.3
2023-01-12 18:20:00,10.78
2023-01-12 19:30:00,9.87
2023-01-12 20:40:00,9.21
2023-01-12 21:50:00,8.64
2023-01-12 23:00:00,8.32
2023-01-13 00:20:00,8.14
2023-01-13 01:30:00,8.3
2023-01-13 02:40:00,7.89
2023-01-13 03:50:00,8.05
2023-01-13 05:00:00,7.54
2023-01-13 06:10:00,8.03
2023-01-13 07:20:00,8.15
2023-01-13 08:30:00,8.35
2023-01-13 09:40:00,8.7
2023-01-13 10:50:00,9.16
2023-01-13 12:00:00,9.13
2023-01-13 13:10:00,9.37
2023-01-13 14:20:00,9.86
2023-01-13 15:30:00,10.16
2023-01-13 16:40:00,10.32
2023-01-13 17:50:00,10.36
2023-01-13 19:00:00,10.15
2023-01-13 20:10:00,9.9
2023-01-13 21:20:00,10.03
2023-01-13 22:30:00,10.14
2023-01-13 23:40:00,9.42
2023-01-14 01:00:00,9.37
2023-01-14 02:10:00,9.15
2023-01-14 03:20:00,9.21
2023-01-14 04:30:00,8.99
2023-01-14 05:40:00,9.07
2023-01-14 06:50:00,9.23
2023-01-14 08:00:00,9.28
2023-01-14 09:10:00,8.83
2023-01-14 10:20:00,8.5
2023-01-14 11:30:00,8.19
2023-01-14 12:40:00,8.05
2023-01-14 13:50:00,7.54
2023-01-14 15:00:00,7.49
2023-01-14 16:10:00,7.13
