时间,湿度(%)
2023-01-01 01:10:00,52.29
2023-01-01 02:20:00,59.12
2023-01-01 03:30:00,60.95
2023-01-01 04:40:00,63.6
2023-01-01 05:50:00,62.77
2023-01-01 07:00:00,63.03
2023-01-01 08:10:00,60.64
2023-01-01 09:20:00,60.72
2023-01-01 10:30:00,56.99
2023-01-01 11:40:00,54.24
2023-01-01 12:50:00,52.49
2023-01-01 14:00:00,52.12
2023-01-01 15:10:00,52.69
2023-01-01 16:20:00,52.7
2023-01-01 17:30:00,52.52
2023-01-01 18:40:00,51.89
2023-01-01 19:50:00,51.19
2023-01-01 21:00:00,56.42
2023-01-01 22:10:00,56.18
2023-01-01 23:20:00,55.68
2023-01-02 00:40:00,53.36
2023-01-02 02:00:00,54.54
2023-01-02 03:10:00,57.5
2023-01-02 04:20:00,58.44
2023-01-02 05:30:00,59.66
2023-01-02 06:40:00,59.84
2023-01-02 07:50:00,59.28
2023-01-02 09:00:00,59.3
2023-01-02 10:10:00,57.11
2023-01-02 11:30:00,56.36
2023-01-02 12:40:00,54.35
2023-01-02 13:50:00,52.21
2023-01-02 15:00:00,54.15
2023-01-02 16:10:00,56.36
2023-01-02 17:20:00,55.45
2023-01-02 18:30:00,57.22
2023-01-02 19:40:00,57.65
2023-01-02 20:50:00,62.17
2023-01-02 22:00:00,62.8
2023-01-02 23:10:00,63.64
2023-01-03 00:30:00,63.18
2023-01-03 01:40:00,62.89
2023-01-03 02:50:00,62.85
2023-01-03 04:00:00,63.54
2023-01-03 05:10:00,62.94
2023-01-03 06:20:00,62.76
2023-01-03 07:30:00,61.98
2023-01-03 08:40:00,61.11
2023-01-03 09:50:00,60.75
2023-01-03 11:00:00,60.41
2023-01-03 12:10:00,58.25
2023-01-03 13:20:00,56.59
2023-01-03 14:30:00,56.11
2023-01-03 15:40:00,53.18
2023-01-03 16:50:00,54.53
2023-01-03 18:00:00,53.88
2023-01-03 19:10:00,53.03
2023-01-03 20:20:00,56.24
2023-01-03 21:30:00,58.38
2023-01-03 22:40:00,59.05
2023-01-03 23:50:00,59.99
2023-01-04 01:10:00,61.18
2023-01-04 02:20:00,61.91
2023-01-04 03:30:00,60.92
2023-01-04 04:40:00,61.91
2023-01-04 05:50:00,62.04
2023-01-04 07:00:00,61.77
2023-01-04 08:10:00,60.93
2023-01-04 09:20:00,60.74
2023-01-04 10:30:00,59.53
2023-01-04 11:40:00,59.22
2023-01-04 12:50:00,58.25
2023-01-04 14:00:00,54.29
2023-01-04 15:10:00,53.63
2023-01-04 16:20:00,53.76
2023-01-04 17:30:00,54
2023-01-04 18:40:00,54.15
2023-01-04 19:50:00,54.41
2023-01-04 21:00:00,56.86
2023-01-04 22:10:00,58.62
2023-01-04 23:20:00,58.82
2023-01-05 00:40:00,59.15
2023-01-05 01:50:00,60.64
2023-01-05 03:00:00,60.77
2023-01-05 04:10:00,61.3
2023-01-05 05:20:00,61.41
2023-01-05 06:30:00,61.87
2023-01-05 07:40:00,60.56
2023-01-05 08:50:00,60.44
2023-01-05 10:00:00,60.61
2023-01-05 11:10:00,59.53
2023-01-05 12:20:00,59.44
2023-01-05 13:30:00,58.8
2023-01-05 14:40:00,55.32
2023-01-05 15:50:00,52.1
2023-01-05 17:00:00,49.8
2023-01-05 18:10:00,51.22
2023-01-05 19:20:00,53.58
2023-01-05 20:30:00,56.25
2023-01-05 21:40:00,60.16
2023-01-05 22:50:00,61.72
2023-01-06 00:10:00,62.62
2023-01-06 01:20:00,61.19
2023-01-06 02:30:00,64.2
2023-01-06 03:40:00,65.32
2023-01-06 04:50:00,65.55
2023-01-06 06:00:00,64.78
2023-01-06 07:10:00,64.73
2023-01-06 08:20:00,64.51
2023-01-06 09:30:00,65.03
2023-01-06 10:40:00,64.06
2023-01-06 11:50:00,63.13
2023-01-06 13:00:00,61.73
2023-01-06 14:10:00,60.47
2023-01-06 15:20:00,60.1
2023-01-06 16:30:00,58.22
2023-01-06 17:40:00,57.92
2023-01-06 18:50:00,57.91
2023-01-06 20:00:00,60.1
2023-01-06 21:10:00,62.97
2023-01-06 22:20:00,64.4
2023-01-06 23:30:00,64.83
2023-01-07 00:50:00,65.24
2023-01-07 02:00:00,66.66
2023-01-07 03:10:00,66.78
