时间,索力值(kN)
2023-01-01 01:10:00,5526.982
2023-01-01 02:20:00,5526.334
2023-01-01 03:30:00,5526.03
2023-01-01 04:40:00,5525.886
2023-01-01 05:50:00,5525.742
2023-01-01 07:00:00,5525.846
2023-01-01 08:10:00,5525.806
2023-01-01 09:20:00,5525.83
2023-01-01 10:30:00,5526.214
2023-01-01 11:40:00,5526.446
2023-01-01 12:50:00,5526.598
2023-01-01 14:00:00,5526.686
2023-01-01 15:10:00,5526.758
2023-01-01 16:20:00,5526.846
2023-01-01 17:30:00,5526.878
2023-01-01 18:40:00,5526.766
2023-01-01 19:50:00,5526.846
2023-01-01 21:00:00,5526.71
2023-01-01 22:10:00,5526.51
2023-01-01 23:20:00,5526.478
2023-01-02 00:40:00,5526.478
2023-01-02 02:00:00,5526.31
2023-01-02 03:10:00,5526.014
2023-01-02 04:20:00,5525.918
2023-01-02 05:30:00,5525.894
2023-01-02 06:40:00,5525.83
2023-01-02 07:50:00,5525.902
2023-01-02 09:00:00,5526.07
2023-01-02 10:10:00,5526.294
2023-01-02 11:30:00,5526.446
2023-01-02 12:40:00,5526.758
2023-01-02 13:50:00,5527.15
2023-01-02 15:00:00,5526.798
2023-01-02 16:10:00,5526.894
2023-01-02 17:20:00,5526.958
2023-01-02 18:30:00,5526.606
2023-01-02 19:40:00,5526.486
2023-01-02 20:50:00,5526.166
2023-01-02 22:00:00,5526.014
2023-01-02 23:10:00,5525.902
2023-01-03 00:30:00,5525.758
2023-01-03 01:40:00,5525.566
2023-01-03 02:50:00,5525.654
2023-01-03 04:00:00,5525.51
2023-01-03 05:10:00,5525.486
2023-01-03 06:20:00,5525.646
2023-01-03 07:30:00,5525.726
2023-01-03 08:40:00,5525.758
2023-01-03 09:50:00,5526.142
2023-01-03 11:00:00,5526.206
2023-01-03 12:10:00,5526.75
2023-01-03 13:20:00,5527.062
2023-01-03 14:30:00,5527.31
2023-01-03 15:40:00,5527.502
2023-01-03 16:50:00,5527.478
2023-01-03 18:00:00,5527.398
2023-01-03 19:10:00,5527.31
2023-01-03 20:20:00,5527.222
2023-01-03 21:30:00,5526.958
2023-01-03 22:40:00,5526.838
2023-01-03 23:50:00,5526.638
2023-01-04 01:10:00,5526.446
2023-01-04 02:20:00,5526.318
2023-01-04 03:30:00,5526.27
2023-01-04 04:40:00,5526.158
2023-01-04 05:50:00,5526.19
2023-01-04 07:00:00,5526.238
2023-01-04 08:10:00,5526.302
2023-01-04 09:20:00,5526.374
2023-01-04 10:30:00,5526.678
2023-01-04 11:40:00,5526.798
2023-01-04 12:50:00,5526.958
2023-01-04 14:00:00,5527.374
2023-01-04 15:10:00,5527.534
2023-01-04 16:20:00,5527.606
2023-01-04 17:30:00,5527.67
2023-01-04 18:40:00,5527.63
2023-01-04 19:50:00,5527.486
2023-01-04 21:00:00,5527.31
2023-01-04 22:10:00,5527.062
2023-01-04 23:20:00,5526.926
2023-01-05 00:40:00,5526.782
2023-01-05 01:50:00,5526.598
2023-01-05 03:00:00,5526.614
2023-01-05 04:10:00,5526.462
2023-01-05 05:20:00,5526.526
2023-01-05 06:30:00,5526.462
2023-01-05 07:40:00,5526.582
2023-01-05 08:50:00,5526.854
2023-01-05 10:00:00,5526.958
2023-01-05 11:10:00,5527.278
2023-01-05 12:20:00,5527.214
2023-01-05 13:30:00,5527.406
2023-01-05 14:40:00,5527.726
2023-01-05 15:50:00,5527.95
2023-01-05 17:00:00,5528.19
2023-01-05 18:10:00,5528.462
2023-01-05 19:20:00,5527.998
2023-01-05 20:30:00,5527.918
2023-01-05 21:40:00,5527.006
2023-01-05 22:50:00,5526.334
2023-01-06 00:10:00,5525.95
2023-01-06 01:20:00,5525.63
2023-01-06 02:30:00,5525.454
2023-01-06 03:40:00,5525.078
2023-01-06 04:50:00,5525.046
2023-01-06 06:00:00,5524.926
2023-01-06 07:10:00,5525.086
2023-01-06 08:20:00,5525.07
2023-01-06 09:30:00,5524.926
2023-01-06 10:40:00,5525.366
2023-01-06 11:50:00,5525.878
2023-01-06 13:00:00,5526.334
2023-01-06 14:10:00,5526.734
2023-01-06 15:20:00,5526.894
2023-01-06 16:30:00,5527.614
2023-01-06 17:40:00,5527.486
2023-01-06 18:50:00,5527.534
2023-01-06 20:00:00,5526.958
2023-01-06 21:10:00,5526.398
2023-01-06 22:20:00,5525.886
2023-01-06 23:30:00,5525.342
2023-01-07 00:50:00,5525.078
2023-01-07 02:00:00,5524.758
2023-01-07 03:10:00,5524.558
2023-01-07 04:20:00,5524.198
2023-01-07 05:30:00,5524.094
2023-01-07 06:40:00,5524.366
2023-01-07 07:50:00,5524.638
2023-01-07 09:00:00,5523.902
2023-01-07 10:10:00,5524.814
2023-01-07 11:20:00,5526.734
2023-01-07 12:30:00,5528.102
2023-01-07 13:40:00,5529.374
2023-01-07 14:50:00,5530.638
2023-01-07 16:00:00,5530.046
2023-01-07 17:20:00,5529.294
