时间,风速(m/s)
2023-01-01 01:19:00,2.19
2023-01-01 02:38:00,3.92
2023-01-01 03:57:00,2.12
2023-01-01 05:15:00,0.64
2023-01-01 06:34:00,0.82
2023-01-01 07:52:00,2.13
2023-01-01 09:10:00,2.07
2023-01-01 10:28:00,2.59
2023-01-01 11:46:00,2.84
2023-01-01 13:05:00,3.1
2023-01-01 14:24:00,1.34
2023-01-01 15:42:00,1.41
2023-01-01 17:00:00,1.94
2023-01-01 18:18:00,1.48
2023-01-01 19:37:00,1.38
2023-01-01 20:55:00,1.96
2023-01-01 22:13:00,1.31
2023-01-01 23:31:00,3.8
2023-01-02 00:51:00,1.08
2023-01-02 02:10:00,2.42
2023-01-02 03:28:00,0.21
2023-01-02 04:46:00,0.12
2023-01-02 06:05:00,0.24
2023-01-02 07:23:00,0.6
2023-01-02 08:42:00,1.31
2023-01-02 10:00:00,2.4
2023-01-02 11:19:00,2.3
2023-01-02 12:37:00,1.87
2023-01-02 13:55:00,0.02
2023-01-02 15:14:00,0.06
2023-01-02 16:32:00,0.82
2023-01-02 17:50:00,0.59
2023-01-02 19:08:00,2.06
2023-01-02 20:27:00,2.22
2023-01-02 21:45:00,2.49
2023-01-02 23:03:00,1.78
2023-01-03 00:23:00,1.79
2023-01-03 01:42:00,2.28
2023-01-03 03:00:00,2.09
2023-01-03 04:19:00,1
2023-01-03 05:37:00,1.54
2023-01-03 06:57:00,1.29
2023-01-03 08:16:00,2.39
2023-01-03 09:35:00,1.04
2023-01-03 10:54:00,1.42
2023-01-03 12:12:00,0.69
2023-01-03 13:30:00,0.15
2023-01-03 14:48:00,1.07
2023-01-03 16:06:00,1.74
2023-01-03 17:24:00,2.59
2023-01-03 18:42:00,3.12
2023-01-03 20:00:00,1.56
2023-01-03 21:18:00,1.99
2023-01-03 22:37:00,1.59
2023-01-03 23:55:00,2.54
2023-01-04 01:15:00,2.24
2023-01-04 02:33:00,2.82
2023-01-04 03:51:00,1.98
2023-01-04 05:10:00,2.3
2023-01-04 06:29:00,2.7
2023-01-04 07:48:00,3.3
2023-01-04 09:06:00,1.98
2023-01-04 10:24:00,1.4
2023-01-04 11:42:00,2.48
2023-01-04 13:01:00,2.26
2023-01-04 14:20:00,1.8
2023-01-04 15:39:00,1.51
2023-01-04 16:58:00,2.3
2023-01-04 18:17:00,1.8
2023-01-04 19:35:00,1.68
2023-01-04 20:53:00,1.52
2023-01-04 22:11:00,1.56
2023-01-04 23:30:00,2.32
2023-01-05 00:49:00,0.26
2023-01-05 02:07:00,0.2
2023-01-05 03:25:00,0.62
2023-01-05 04:44:00,0.43
2023-01-05 06:03:00,0.07
2023-01-05 07:22:00,1.65
2023-01-05 08:41:00,0.94
2023-01-05 09:59:00,0.42
