时间,风向(°)
2023-01-01 01:19:00,159.78
2023-01-01 02:38:00,170.92
2023-01-01 03:57:00,133.92
2023-01-01 05:15:00,36.92
2023-01-01 06:34:00,216.25
2023-01-01 07:52:00,342.28
2023-01-01 09:10:00,292.52
2023-01-01 10:28:00,348.78
2023-01-01 11:46:00,329.45
2023-01-01 13:05:00,340.13
2023-01-01 14:24:00,341.05
2023-01-01 15:42:00,317.48
2023-01-01 17:00:00,74.65
2023-01-01 18:18:00,28.13
2023-01-01 19:37:00,69.05
2023-01-01 20:55:00,330.35
2023-01-01 22:13:00,315.58
2023-01-01 23:31:00,346.4
2023-01-02 00:51:00,84.02
2023-01-02 02:10:00,333.58
2023-01-02 03:28:00,335.82
2023-01-02 04:46:00,310
2023-01-02 06:05:00,13
2023-01-02 07:23:00,62
2023-01-02 08:42:00,236.17
2023-01-02 10:00:00,121.6
2023-01-02 11:19:00,346
2023-01-02 12:37:00,335.57
2023-01-02 13:55:00,33
2023-01-02 15:14:00,344.87
2023-01-02 16:32:00,266.08
2023-01-02 17:50:00,207.97
2023-01-02 19:08:00,341.55
2023-01-02 20:27:00,320.9
2023-01-02 21:45:00,315.32
2023-01-02 23:03:00,324.98
2023-01-03 00:23:00,316.33
2023-01-03 01:42:00,322.32
2023-01-03 03:00:00,345.37
2023-01-03 04:19:00,270.15
2023-01-03 05:37:00,283.95
2023-01-03 06:57:00,322.67
2023-01-03 08:16:00,326.62
2023-01-03 09:35:00,305.15
2023-01-03 10:54:00,339.13
2023-01-03 12:12:00,345.38
2023-01-03 13:30:00,31.18
2023-01-03 14:48:00,309.8
2023-01-03 16:06:00,309.87
2023-01-03 17:24:00,31.12
2023-01-03 18:42:00,316.42
2023-01-03 20:00:00,329.33
2023-01-03 21:18:00,318.2
2023-01-03 22:37:00,325.28
2023-01-03 23:55:00,337.08
2023-01-04 01:15:00,333.63
2023-01-04 02:33:00,345.9
2023-01-04 03:51:00,333
2023-01-04 05:10:00,337
2023-01-04 06:29:00,350
2023-01-04 07:48:00,336
2023-01-04 09:06:00,332.2
2023-01-04 10:24:00,326.18
2023-01-04 11:42:00,334.35
2023-01-04 13:01:00,325.03
2023-01-04 14:20:00,343.67
2023-01-04 15:39:00,311.67
2023-01-04 16:58:00,336.93
2023-01-04 18:17:00,342.62
2023-01-04 19:35:00,337.67
2023-01-04 20:53:00,341.25
2023-01-04 22:11:00,346.78
2023-01-04 23:30:00,339.95
2023-01-05 00:49:00,31.1
2023-01-05 02:07:00,105.82
2023-01-05 03:25:00,35.9
2023-01-05 04:44:00,138.88
2023-01-05 06:03:00,95.57
2023-01-05 07:22:00,317.28
2023-01-05 08:41:00,336.88
2023-01-05 09:59:00,309.62
2023-01-05 11:17:00,329
2023-01-05 12:35:00,133.18
2023-01-05 13:54:00,124.73
2023-01-05 15:12:00,138.27
2023-01-05 16:31:00,129.15
2023-01-05 17:50:00,27.97
2023-01-05 19:08:00,170.32
2023-01-05 20:26:00,336.22
2023-01-05 21:44:00,307.03
2023-01-05 23:03:00,344.45
2023-01-06 00:25:00,297.4
2023-01-06 01:43:00,148.82
2023-01-06 03:01:00,312
2023-01-06 04:19:00,344
2023-01-06 05:37:00,40.07
2023-01-06 06:56:00,312
2023-01-06 08:15:00,340.83
2023-01-06 09:33:00,59.08
2023-01-06 10:52:00,152.72
2023-01-06 12:10:00,136.43
2023-01-06 13:29:00,55
2023-01-06 14:47:00,165.9
2023-01-06 16:06:00,106.2
2023-01-06 17:24:00,315.68
2023-01-06 18:43:00,316.03
2023-01-06 20:02:00,344.7
2023-01-06 21:21:00,351.27
2023-01-06 22:39:00,331.68
2023-01-06 23:58:00,342.08
2023-01-07 01:18:00,327.1
2023-01-07 02:36:00,316.23
2023-01-07 03:55:00,334.5
2023-01-07 05:14:00,199.17
2023-01-07 06:33:00,337.17
2023-01-07 07:51:00,132.88
2023-01-07 09:10:00,273.32
2023-01-07 10:29:00,336.87
2023-01-07 11:48:00,333.25
2023-01-07 13:06:00,330.48
2023-01-07 14:25:00,313.12
2023-01-07 15:43:00,296
2023-01-07 17:02:00,149.75
2023-01-07 18:22:00,153.63
2023-01-07 19:41:00,154.78
2023-01-07 20:59:00,165.78
2023-01-07 22:17:00,152.93
2023-01-07 23:36:00,132.38
2023-01-08 00:55:00,145
2023-01-08 02:14:00,145
2023-01-08 03:32:00,174.97
2023-01-08 04:50:00,51.37
2023-01-08 06:09:00,289.83
2023-01-08 07:27:00,34.8
2023-01-08 08:45:00,340
2023-01-08 10:05:00,355
2023-01-08 11:24:00,317.55
2023-01-08 12:43:00,232.15
2023-01-08 14:02:00,137.98
2023-01-08 15:20:00,161.12
2023-01-08 16:39:00,141.42
2023-01-08 17:58:00,266
2023-01-08 19:17:00,108.85
2023-01-08 20:35:00,144.22
2023-01-08 21:54:00,143.35
2023-01-08 23:13:00,135.67
2023-01-09 00:32:00,80.45
2023-01-09 01:51:00,106.28
2023-01-09 03:10:00,72.07
2023-01-09 04:29:00,90.17
2023-01-09 05:47:00,32.02
2023-01-09 07:05:00,59.37
2023-01-09 08:24:00,209.53
2023-01-09 09:43:00,107.45
2023-01-09 11:03:00,333.4
2023-01-09 12:21:00,336.52
2023-01-09 13:40:00,66.3
2023-01-09 14:58:00,349.27
2023-01-09 16:16:00,153.9
2023-01-09 17:34:00,170.65
2023-01-09 18:52:00,167.82
2023-01-09 20:11:00,170.13
2023-01-09 21:29:00,241.42
2023-01-09 22:47:00,26
2023-01-10 00:08:00,167
2023-01-10 01:26:00,146.93
2023-01-10 02:45:00,130
2023-01-10 04:03:00,119
2023-01-10 05:22:00,100.12
2023-01-10 06:41:00,64.13
2023-01-10 07:59:00,77
2023-01-10 09:18:00,150.4
2023-01-10 10:36:00,356
2023-01-10 11:54:00,311.75
2023-01-10 13:13:00,296.37
2023-01-10 14:32:00,280.67
2023-01-10 15:51:00,316
2023-01-10 17:09:00,157.5
2023-01-10 18:28:00,169.95
2023-01-10 19:46:00,165.2
2023-01-10 21:05:00,70.43
2023-01-10 22:24:00,38.78
2023-01-10 23:44:00,36
2023-01-11 01:04:00,338.18
2023-01-11 02:22:00,333.63
2023-01-11 03:40:00,331.13
2023-01-11 04:58:00,310.55
2023-01-11 06:17:00,328.43
2023-01-11 07:36:00,327.15
2023-01-11 08:55:00,323.23
2023-01-11 10:13:00,313.9
2023-01-11 11:31:00,322.35
2023-01-11 12:50:00,336.5
2023-01-11 14:09:00,299.1
2023-01-11 15:27:00,342.08
2023-01-11 16:45:00,332.53
2023-01-11 18:04:00,247.08
2023-01-11 19:23:00,327.07
2023-01-11 20:41:00,317.7
2023-01-11 21:59:00,313
2023-01-11 23:17:00,310
2023-01-12 00:38:00,300
2023-01-12 01:56:00,305
2023-01-12 03:14:00,311
2023-01-12 04:33:00,322.37
2023-01-12 05:51:00,155
2023-01-12 07:09:00,149.18
2023-01-12 08:28:00,122
2023-01-12 09:47:00,109
2023-01-12 11:05:00,109
2023-01-12 12:24:00,66.63
2023-01-12 13:42:00,102
2023-01-12 15:00:00,347.68
2023-01-12 16:19:00,348.18
2023-01-12 17:37:00,23.07
2023-01-12 18:55:00,336.88
2023-01-12 20:14:00,346.63
2023-01-12 21:32:00,287.88
2023-01-12 22:51:00,330.4
2023-01-13 00:13:00,349.15
2023-01-13 01:31:00,304.45
2023-01-13 02:49:00,306.85
2023-01-13 04:07:00,308.8
2023-01-13 05:25:00,344
2023-01-13 06:43:00,148
2023-01-13 08:02:00,171.75
2023-01-13 09:20:00,154.65
2023-01-13 10:39:00,144.57
2023-01-13 11:57:00,140.93
2023-01-13 13:15:00,99.23
2023-01-13 14:33:00,153.35
2023-01-13 15:51:00,61.33
2023-01-13 17:10:00,55.03
2023-01-13 18:28:00,219.17
2023-01-13 19:46:00,139
2023-01-13 21:04:00,161
2023-01-13 22:23:00,55
2023-01-13 23:41:00,337.82
2023-01-14 01:02:00,323
2023-01-14 02:21:00,343.62
2023-01-14 03:39:00,337.47
2023-01-14 04:57:00,74.15
2023-01-14 06:15:00,345
2023-01-14 07:34:00,46
2023-01-14 08:52:00,313.8
2023-01-14 10:12:00,327
2023-01-14 11:30:00,131.65
2023-01-14 12:49:00,55.95
2023-01-14 14:07:00,83.58
2023-01-14 15:25:00,108.08
2023-01-14 16:43:00,183.08
2023-01-14 18:02:00,350
2023-01-14 19:21:00,227.28
2023-01-14 20:40:00,42.77
2023-01-14 21:59:00,50.25
2023-01-14 23:17:00,284.47
2023-01-15 00:36:00,237.13
2023-01-15 01:54:00,36.07
2023-01-15 03:12:00,90.72
2023-01-15 04:30:00,334.88
2023-01-15 05:48:00,52.32
2023-01-15 07:06:00,51.6
2023-01-15 08:25:00,43.63
2023-01-15 09:43:00,107.4
2023-01-15 11:01:00,32.35
2023-01-15 12:19:00,259.7
2023-01-15 13:38:00,134.3
2023-01-15 14:56:00,96.58
2023-01-15 16:14:00,48.7
2023-01-15 17:32:00,148.12
2023-01-15 18:50:00,339.05
2023-01-15 20:08:00,44.3
2023-01-15 21:27:00,316
2023-01-15 22:47:00,306.9
2023-01-16 00:07:00,296
2023-01-16 01:26:00,263
2023-01-16 02:44:00,63.57
2023-01-16 04:03:00,348.55
2023-01-16 05:21:00,263
2023-01-16 06:39:00,34.1
2023-01-16 07:57:00,344
2023-01-16 09:16:00,62
2023-01-16 10:34:00,242.13
2023-01-16 11:52:00,43
2023-01-16 13:10:00,341.85
2023-01-16 14:28:00,227.25
2023-01-16 15:47:00,317.03
2023-01-16 17:05:00,41.38
2023-01-16 18:23:00,31.73
2023-01-16 19:41:00,271.95
2023-01-16 21:00:00,193.65
2023-01-16 22:19:00,31.83
2023-01-16 23:37:00,327.38
2023-01-17 00:58:00,330.4
2023-01-17 02:16:00,87.9
2023-01-17 03:34:00,177.42
2023-01-17 04:53:00,99.3
2023-01-17 06:11:00,76.43
2023-01-17 07:29:00,129
2023-01-17 08:47:00,87.7
2023-01-17 10:05:00,105.88
2023-01-17 11:23:00,52.53
2023-01-17 12:42:00,36.43
2023-01-17 14:00:00,96.55
2023-01-17 15:18:00,303
2023-01-17 16:36:00,170.62
2023-01-17 17:55:00,168.88
2023-01-17 19:13:00,179.2
2023-01-17 20:31:00,170.35
2023-01-17 21:50:00,155
2023-01-17 23:08:00,179.07
2023-01-18 00:28:00,35
2023-01-18 01:46:00,113.43
2023-01-18 03:04:00,137.58
2023-01-18 04:22:00,131
2023-01-18 05:41:00,208.63
2023-01-18 07:00:00,337.38
2023-01-18 08:18:00,306.85
2023-01-18 09:37:00,319
2023-01-18 10:55:00,286.32
2023-01-18 12:13:00,47.18
2023-01-18 13:32:00,317.43
2023-01-18 14:51:00,329.87
2023-01-18 16:09:00,29.83
2023-01-18 17:27:00,28.6
2023-01-18 18:45:00,323.12
2023-01-18 20:04:00,354.12
2023-01-18 21:23:00,338.67
2023-01-18 22:41:00,334.53
2023-01-19 00:02:00,340.6
2023-01-19 01:21:00,334.3
2023-01-19 02:39:00,339.07
2023-01-19 03:58:00,332.88
2023-01-19 05:16:00,271.52
2023-01-19 06:34:00,347.27
2023-01-19 07:53:00,265.2
2023-01-19 09:11:00,239.5
2023-01-19 10:30:00,333.48
2023-01-19 11:48:00,335.37
2023-01-19 13:06:00,41.13
2023-01-19 14:24:00,293
2023-01-19 15:42:00,178.37
2023-01-19 17:00:00,179.3
2023-01-19 18:19:00,263.43
2023-01-19 19:38:00,225.48
2023-01-19 20:56:00,167.55
2023-01-19 22:14:00,67.92
2023-01-19 23:33:00,350.2
2023-01-20 00:52:00,341
2023-01-20 02:11:00,311
2023-01-20 03:29:00,348.6
2023-01-20 04:47:00,335
2023-01-20 06:06:00,339
2023-01-20 07:25:00,331
2023-01-20 08:44:00,342.08
2023-01-20 10:02:00,334.4
2023-01-20 11:21:00,348
2023-01-20 12:40:00,121.33
2023-01-20 13:58:00,234.67
2023-01-20 15:16:00,157.67
2023-01-20 16:34:00,174.2
2023-01-20 17:52:00,102.8
2023-01-20 19:10:00,153.48
2023-01-20 20:29:00,334
2023-01-20 21:48:00,172.98
2023-01-20 23:07:00,347
2023-01-21 00:26:00,181.3
2023-01-21 01:45:00,131.08
2023-01-21 03:03:00,79.22
2023-01-21 04:21:00,335.63
2023-01-21 05:39:00,317.75
2023-01-21 06:58:00,322.28
2023-01-21 08:16:00,296.53
2023-01-21 09:35:00,320.72
2023-01-21 10:53:00,337.22
2023-01-21 12:11:00,230.62
2023-01-21 13:29:00,133.32
2023-01-21 14:48:00,184.53
2023-01-21 16:06:00,56.48
2023-01-21 17:24:00,118.37
2023-01-21 18:42:00,61.12
2023-01-21 20:01:00,78.03
2023-01-21 21:20:00,93.83
2023-01-21 22:38:00,65
2023-01-21 23:58:00,157.4
2023-01-22 01:18:00,182.2
2023-01-22 02:38:00,346
2023-01-22 03:56:00,68.13
2023-01-22 05:15:00,64.63
2023-01-22 06:33:00,348.65
2023-01-22 07:52:00,338.92
2023-01-22 09:10:00,7
2023-01-22 10:28:00,324.17
2023-01-22 11:47:00,344.8
2023-01-22 13:05:00,51.58
2023-01-22 14:24:00,94.03
2023-01-22 15:43:00,328.52
2023-01-22 17:01:00,243.42
2023-01-22 18:19:00,39
2023-01-22 19:38:00,38.88
2023-01-22 20:57:00,50.08
2023-01-22 22:15:00,149.27
2023-01-22 23:34:00,334.75
2023-01-23 00:55:00,349.75
2023-01-23 02:15:00,333.8
2023-01-23 03:33:00,330.67
2023-01-23 04:52:00,345.75
2023-01-23 06:10:00,339.7
2023-01-23 07:28:00,347.78
2023-01-23 08:47:00,352.47
2023-01-23 10:05:00,302.15
2023-01-23 11:24:00,320.18
2023-01-23 12:42:00,35.2
2023-01-23 14:01:00,250.97
2023-01-23 15:19:00,213.27
2023-01-23 16:37:00,152.52
2023-01-23 17:56:00,147.97
2023-01-23 19:15:00,155.42
2023-01-23 20:33:00,150.9
2023-01-23 21:51:00,129.3
2023-01-23 23:09:00,153.02
2023-01-24 00:30:00,344.93
2023-01-24 01:49:00,125
2023-01-24 03:08:00,327
2023-01-24 04:26:00,338
2023-01-24 05:44:00,261.18
2023-01-24 07:02:00,58.28
2023-01-24 08:22:00,252.95
2023-01-24 09:41:00,185.9
2023-01-24 10:59:00,359
2023-01-24 12:17:00,318.53
2023-01-24 13:36:00,174.85
2023-01-24 14:55:00,314.82
2023-01-24 16:13:00,31.03
2023-01-24 17:32:00,342.43
2023-01-24 18:50:00,345.63
2023-01-24 20:08:00,350.42
2023-01-24 21:27:00,343.02
2023-01-24 22:45:00,345.6
2023-01-25 00:06:00,338.05
2023-01-25 01:24:00,326.75
2023-01-25 02:43:00,332.93
2023-01-25 04:02:00,326.68
2023-01-25 05:20:00,327.87
2023-01-25 06:38:00,339.98
2023-01-25 07:57:00,345.15
2023-01-25 09:16:00,45.2
2023-01-25 10:34:00,232.27
2023-01-25 11:52:00,249.3
2023-01-25 13:11:00,306.55
2023-01-25 14:29:00,328.95
2023-01-25 15:48:00,322.83
2023-01-25 17:07:00,315.95
2023-01-25 18:26:00,154.7
2023-01-25 19:45:00,330
2023-01-25 21:03:00,326.27
2023-01-25 22:22:00,246.55
2023-01-25 23:40:00,210.52
2023-01-26 00:59:00,320.85
2023-01-26 02:18:00,321.7
2023-01-26 03:37:00,357
2023-01-26 04:56:00,342.87
2023-01-26 06:14:00,284.75
2023-01-26 07:32:00,276.78
2023-01-26 08:51:00,350.52
2023-01-26 10:10:00,345.95
2023-01-26 11:28:00,177.92
2023-01-26 12:46:00,335.53
2023-01-26 14:04:00,329.6
2023-01-26 15:22:00,330.95
2023-01-26 16:42:00,329.65
2023-01-26 18:00:00,77.63
2023-01-26 19:18:00,341.28
2023-01-26 20:37:00,46.85
2023-01-26 21:55:00,308.17
2023-01-26 23:14:00,329.37
2023-01-27 00:34:00,344.45
2023-01-27 01:52:00,281.3
2023-01-27 03:11:00,320.28
2023-01-27 04:29:00,304.92
2023-01-27 05:48:00,274.08
2023-01-27 07:06:00,318.48
2023-01-27 08:24:00,341.88
2023-01-27 09:42:00,311.58
2023-01-27 11:01:00,303.77
2023-01-27 12:21:00,24.43
2023-01-27 13:40:00,321.27
2023-01-27 14:59:00,123.97
2023-01-27 16:19:00,108
2023-01-27 17:39:00,329.4
2023-01-27 18:58:00,289.18
2023-01-27 20:17:00,181
2023-01-27 21:36:00,180
2023-01-27 22:55:00,281
2023-01-28 00:14:00,307.9
2023-01-28 01:32:00,322.75
2023-01-28 02:51:00,325
2023-01-28 04:11:00,303.27
2023-01-28 05:30:00,320.5
2023-01-28 06:49:00,307
2023-01-28 08:09:00,317.27
2023-01-28 09:29:00,306
2023-01-28 10:48:00,202.13
2023-01-28 12:07:00,111.27
2023-01-28 13:25:00,142.47
2023-01-28 14:45:00,148.57
2023-01-28 16:03:00,142.37
2023-01-28 17:22:00,165.98
2023-01-28 18:41:00,231.27
2023-01-28 19:59:00,38.67
2023-01-28 21:19:00,194.95
2023-01-28 22:39:00,138.75
2023-01-28 23:58:00,167.15
2023-01-29 01:18:00,335.77
2023-01-29 02:36:00,192.33
2023-01-29 03:55:00,333.68
2023-01-29 05:15:00,49.62
2023-01-29 06:34:00,346.97
2023-01-29 07:52:00,209.33
2023-01-29 09:11:00,339.95
2023-01-29 10:30:00,305.82
2023-01-29 11:49:00,142.28
2023-01-29 13:08:00,116.45
2023-01-29 14:28:00,122.88
2023-01-29 15:47:00,126.85
2023-01-29 17:06:00,122.3
2023-01-29 18:25:00,350.82
2023-01-29 19:44:00,319
2023-01-29 21:04:00,313.75
2023-01-29 22:23:00,310.65
2023-01-29 23:43:00,335.22
2023-01-30 01:04:00,328.15
2023-01-30 02:24:00,319
2023-01-30 03:44:00,348.58
2023-01-30 05:03:00,347
2023-01-30 06:22:00,315
2023-01-30 07:41:00,347.63
2023-01-30 09:01:00,284
2023-01-30 10:20:00,335.78
2023-01-30 11:39:00,337.43
2023-01-30 12:57:00,343.88
2023-01-30 14:16:00,349.65
2023-01-30 15:35:00,304.2
2023-01-30 16:54:00,138.03
2023-01-30 18:13:00,35.18
2023-01-30 19:32:00,329.77
2023-01-30 20:50:00,332.53
2023-01-30 22:09:00,314.12
2023-01-30 23:27:00,312.33
2023-01-31 00:47:00,318.2
2023-01-31 02:05:00,309.47
2023-01-31 03:24:00,310.3
2023-01-31 04:42:00,321.72
2023-01-31 06:02:00,319.32
2023-01-31 07:21:00,311.72
2023-01-31 08:42:00,298.62
2023-01-31 10:01:00,319.3
2023-01-31 11:20:00,176.42
2023-01-31 12:39:00,145.57
2023-01-31 13:59:00,135.48
2023-01-31 15:18:00,133.85
2023-01-31 16:37:00,147.87
2023-01-31 17:57:00,185.2
2023-01-31 19:17:00,131.3
2023-01-31 20:36:00,218
2023-01-31 21:55:00,199
2023-01-31 23:15:00,344
2023-02-01 00:36:00,328
2023-02-01 01:54:00,310
2023-02-01 03:13:00,323.3
2023-02-01 04:32:00,322
2023-02-01 05:50:00,328
2023-02-01 07:09:00,322.77
2023-02-01 08:27:00,315.98
2023-02-01 09:46:00,317.7
2023-02-01 11:04:00,309.3
2023-02-01 12:24:00,164.62
2023-02-01 13:44:00,175.25
2023-02-01 15:02:00,159.53
2023-02-01 16:22:00,160
2023-02-01 17:41:00,334.32
2023-02-01 19:01:00,173.03
2023-02-01 20:20:00,43.97
2023-02-01 21:39:00,45.33
2023-02-01 22:58:00,48.28
2023-02-02 00:19:00,45.63
2023-02-02 01:38:00,46.5
2023-02-02 02:57:00,44.68
2023-02-02 04:16:00,46.68
2023-02-02 05:34:00,45.1
2023-02-02 06:53:00,97.55
2023-02-02 08:11:00,154.33
2023-02-02 09:30:00,154.28
2023-02-02 10:50:00,52.25
2023-02-02 12:09:00,42.07
2023-02-02 13:28:00,111.53
2023-02-02 14:47:00,81.03
2023-02-02 16:06:00,346.1
2023-02-02 17:24:00,49.03
2023-02-02 18:42:00,89.02
2023-02-02 20:01:00,353
2023-02-02 21:19:00,354.47
2023-02-02 22:39:00,20
2023-02-02 23:58:00,323.17
2023-02-03 01:17:00,32
2023-02-03 02:36:00,352.12
2023-02-03 03:54:00,355
2023-02-03 05:13:00,74.43
2023-02-03 06:32:00,30.32
2023-02-03 07:50:00,84.92
2023-02-03 09:10:00,352.6
